Rank,Title,Genre,Description,Director,Actors,Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Metascore
1001,Television charge right,"Action,Biography,Crime","In the 1930s, a Bronx native moves to Hollywood and falls in love with a young woman who is seeing a married man.",Shawn Burkett,"Luke Wilson, Eddie Izzard, J.K. Simmons, Lewis Black",1999,123,5.7,43734,901.44,87
1002,Know both,"Drama,Western","In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.",David Slade,"Denzel Washington, Paula Patton, Jim Caviezel, Val Kilmer",1987,97,8.5,261651,8.16,33
1003,Drop memory,"Animation,Adventure,Family",A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,Jonathan Glazer,"Milla Jovovich, Ali Larter, Wentworth Miller,Kim Coates",2013,180,5.5,574103,679.58,37
1004,Reality teacher then,"Adventure,Horror",A man seeks out his exact look-alike after spotting him in a movie.,Olivier Assayas,"Vera Farmiga, Peter Sarsgaard, Isabelle Fuhrman, CCH Pounder",2022,89,5.8,881268,689.43,
1005,Be center answer,"Adventure,Fantasy","After a bad blind date, a man and woman find themselves stuck together at a resort for families, where their attraction grows as their respective kids benefit from the burgeoning relationship.",Boaz Yakin,"Jack Huston, Toby Kebbell, Rodrigo Santoro,Nazanin Boniadi",2019,156,5.7,111287,736.25,69
1006,Resource concern ten,"Action,Mystery,Sci-Fi","When an unseen enemy threatens mankind by taking over their bodies and erasing their memories, Melanie will risk everything to protect the people she cares most about, proving that love can conquer all in a dangerous new world.",Brett Ratner,"Kate Bosworth, Thomas Jane, Jacob Tremblay,Annabeth Gish",1998,158,8,67593,129.01,53
1007,Parent site entire dark,"Adventure,Crime,Mystery",A clean-cut high school student relies on the school's rumor mill to advance her social and financial standing.,J.D. Dillard,"Tina Fey, Margot Robbie, Martin Freeman, Alfred Molina",1991,93,7.2,622248,776.63,75
1008,Despite president machine,"Adventure,Family,Fantasy","Alienated, hopeful-filmmaker Pat Johnson's epic story growing up in rural Illinois, falling in love, and becoming the first fan of the movie that changed everything.",Kenneth Lonergan,"Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon",2003,113,6.2,733471,496.91,74
1009,Break church,"Action,Sci-Fi,Thriller",A determined young woman and a damaged occultist risk their lives and souls to perform a dangerous ritual that will grant them what they want.,Rupert Sanders,"Angelina Jolie, Colm Feore, Amy Ryan, Gattlin Griffith",2000,179,4.3,715652,663.69,100
1010,To book,"Comedy,Music,Romance","During World War II, mathematician Alan Turing tries to crack the enigma code with help from fellow mathematicians.",Cedric Nicolas-Troyan,"Anna Kendrick, Meryl Streep, Chris Pine, Emily Blunt",2014,133,6,807279,609.85,82
1011,Whole born time,"Action,Fantasy,Horror","A shy girl, outcasted by her peers and sheltered by her religious mother, unleashes telekinetic terror on her small town after being pushed too far at her senior prom.",Kenneth Lonergan,"Adam Sandler, David Spade, Paula Patton, Kathryn Hahn",1984,119,6,852506,429.95,66
1012,Instead partner role,"Drama,Romance",Two astronauts work together to survive after an accident which leaves them alone in space.,Bong Joon Ho,"Chris Evans, Robert Downey Jr.,Scarlett Johansson, Sebastian Stan",2000,167,6.1,684428,96.68,33
1013,Often finish paper,"Drama,Fantasy,Horror",A land baron tries to reconnect with his two daughters after his wife is seriously injured in a boating accident.,David Robert Mitchell,"Hugh Jackman, Liev Schreiber, Ryan Reynolds, Danny Huston",2025,171,5.1,286948,89.61,97
1014,Return he special,"Comedy,Crime,Drama",A suicidal American befriends a Japanese man lost in a forest near Mt. Fuji and the two search for a way out.,Chris Wedge,"Tom Cruise, Rebecca Ferguson, Jeremy Renner, Simon Pegg",2023,158,7.4,46474,545.84,31
1015,Opportunity around,"Drama,Music,Romance","After discovering her boyfriend is married, Carly soon meets the wife he's been betraying. And when yet another love affair is discovered, all three women team up to plot revenge on the three-timing S.O.B.",John R. Leonetti,"Kate Winslet, Judy Davis, Liam Hemsworth,Hugo Weaving",1985,120,4.4,572425,50.45,30
1016,Respond price,"Comedy,Western","Left for dead on a sun-scorched planet, Riddick finds himself up against an alien race of predators. Activating an emergency beacon alerts two ships: one carrying a new breed of mercenary, the other captained by a man from Riddick's past.",Rajkumar Hirani,"Brenton Thwaites, Jeff Bridges, Meryl Streep, Taylor Swift",2003,125,4.4,6996,388.12,93
1017,Difficult establish finally,"Comedy,Horror",A teen living under house arrest becomes convinced his neighbor is a serial killer.,Mark Mylod,"Colin Firth, Jude Law, Nicole Kidman, Laura Linney",1991,113,5.3,831917,832.44,35
1018,Fall realize,"Horror,Thriller","The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.",Dan Kwan,"Giuseppe Battiston, Anna Foglietta, Marco Giallini,Edoardo Leo",2015,101,6.4,283255,230.28,76
1019,Drug argue author,"Drama,Thriller,War",The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world.,Brad Furman,"Tom Hardy, Gary Oldman, Noomi Rapace, Joel Kinnaman",2021,81,6.8,668453,145.99,72
1020,Subject various professional,Sci-Fi,A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on-going battle between the gods.,Dexter Fletcher,"Jamal Woolard, Anthony Mackie, Derek Luke,Momo Dione",1983,98,6.5,571487,282.5,
1021,Court stage news,"Adventure,Crime,Mystery","The infamous story of Benjamin Barker, a.k.a. Sweeney Todd, who sets up a barber shop down in London which is the basis for a sinister partnership with his fellow tenant, Mrs. Lovett. Based on the hit Broadway musical.",Sam Mendes,"Ben Affleck, Bryan Cranston, John Goodman, Alan Arkin",2021,179,4.6,691501,158.78,45
1022,Husband receive over because,"Action,Biography,Crime","During the early years of Nazi occupation of France in World War II, romance blooms between Lucile Angellier (Michelle Williams), a French villager, and Bruno von Falk (Matthias Schoenaerts), a German soldier.",Olivier Nakache,"Morjana Alaoui, MylÃ¨ne JampanoÃ¯, Catherine BÃ©gin,Robert Toupin",2011,177,4.7,824974,495.23,61
1023,By training,"Horror,Sci-Fi,Thriller","""The Thinning"" takes place in a post-apocalyptic future where population control is dictated by a high-school aptitude test. When two students (Logan Paul and Peyton List) discover the test... See full summary Â»",Gavin O'Connor,"Mia Wasikowska, Jessica Chastain, Tom Hiddleston, Charlie Hunnam",2007,133,8.1,889834,,88
1024,Now better understand,"Animation,Family,Fantasy",A self-diagnosed nymphomaniac recounts her erotic experiences to the man who saved her after a beating.,Thor Freudenthal,"Nicolas Cage, Eva Mendes, Sam Elliott, Matt Long",2011,86,5.6,758424,979.22,35
1025,Indicate growth whatever,"Action,Drama,Mystery","A successful investment banker struggles after losing his wife in a tragic car crash. With the help of a customer service rep and her young son, he starts to rebuild, beginning with the demolition of the life he once knew.",Jeremy Saulnier,"Sylvester Stallone, Liam Hemsworth, Randy Couture,Jean-Claude Van Damme",1996,132,5,517977,694.14,63
1026,Late population child,"Drama,Western",European mercenaries searching for black powder become embroiled in the defense of the Great Wall of China against a horde of monstrous creatures.,Pedro AlmodÃ³var,"Jesse Eisenberg, Kristen Stewart, Steve Carell, Blake Lively",2008,159,8.2,41858,297.4,87
1027,Both father,Sci-Fi,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.",Tomas Alfredson,"Chris Pine, Zachary Quinto, Simon Pegg, Leonard Nimoy",1988,119,9,696126,39.47,70
1028,This leave guy,"Action,Sci-Fi,Thriller","While attending a party at James Franco's house, Seth Rogen, Jay Baruchel and many other celebrities are faced with the Biblical Apocalypse.",Paul Verhoeven,"Anna Faris, Chris Evans, Ari Graynor, Blythe Danner",2018,133,7.3,713281,460.21,
1029,Realize Congress,"Animation,Comedy,Family",Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,Joe Wright,"QuvenzhanÃ© Wallis, Cameron Diaz, Jamie Foxx, Rose Byrne",2009,119,8.4,435557,252.59,61
1030,School firm,"Comedy,Family,Musical","In London for the Prime Minister's funeral, Mike Banning discovers a plot to assassinate all the attending world leaders.",Akiva Schaffer,"James Franco, Seth Rogen, Randall Park, Lizzy Caplan",2003,129,6.1,222877,645.89,54
1031,List although,"Comedy,Crime","Disgraced Secret Service agent (and former presidential guard) Mike Banning finds himself trapped inside the White House in the wake of a terrorist attack; using his inside knowledge, Banning works with national security to rescue the President from his kidnappers.",Drake Doremus,"Nat Wolff, James Franco, Vincent D'Onofrio, Selena Gomez",2023,146,6.9,170715,334.43,47
1032,Father with rest,"Horror,Thriller",An Israeli Special Forces Soldier fakes his death so he can re-emerge in New York City as a hair stylist.,Sean Anders,"Mae Whitman, Bella Thorne, Robbie Amell, Allison Janney",2025,89,4.6,122039,,99
1033,Assume,"Adventure,Mystery,Sci-Fi","Two salesmen whose careers have been torpedoed by the digital age find their way into a coveted internship at Google, where they must compete with a group of young, tech-savvy geniuses for a shot at employment.",Adam Wingard,"Geoffrey Rush, Jim Sturgess, Sylvia Hoeks,Donald Sutherland",1999,126,6.3,195966,112.17,43
1034,Member officer energy,"Comedy,Western","A haunting portrait of Lucy, a young university student drawn into a mysterious hidden world of unspoken desires.",So Yong Kim,"Sharlto Copley, Dev Patel, Hugh Jackman,Sigourney Weaver",1989,155,6.3,71190,90.37,72
1035,Position image throughout,Comedy,Political interference in the Avengers' activities causes a rift between former allies Captain America and Iron Man.,J.J. Abrams,"Brian White, Karrueche Tran, Angelique Pereira,Jessica Vanessa DeLeon",1996,135,8,607900,418.63,24
1036,Step officer upon,"Drama,Sci-Fi,Thriller","In the year 2154, the very wealthy live on a man-made space station while the rest of the population resides on a ruined Earth. A man takes on a mission that could bring equality to the polarized worlds.",Alex Ranarivelo,"Jesse Eisenberg, Andrew Garfield, Justin Timberlake,Rooney Mara",1991,116,4,697308,732.57,79
1037,Church check,"Adventure,Comedy","Warring alien and predator races descend on a rural US town, where unsuspecting residents must band together for any chance of survival.",Greg Mottola,"Quinton Aaron, Sandra Bullock, Tim McGraw,Jae Head",1983,102,8.9,701255,471.22,65
1038,But over,"Comedy,Family,Musical","Told from Igor's perspective, we see the troubled young assistant's dark origins, his redemptive friendship with the young medical student Viktor Von Frankenstein, and become eyewitnesses to the emergence of how Frankenstein became the man - and the legend - we know today.",FranÃ§ois Simard,"Tom Hanks, Mark Rylance, Alan Alda, Amy Ryan",1997,137,7,104442,654.87,68
1039,Before middle environmental,"Horror,Mystery,Thriller","An adventurous mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive.",Scott Frank,"Willem Dafoe, Charlotte Gainsbourg, Storm Acheche SahlstrÃ¸m",1986,110,6.7,483954,263.24,23
1040,Thousand plant,"Action,Drama,History",A mousy governess who softens the heart of her employer soon discovers that he's hiding a terrible secret.,Jeff Grace,"Dakota Fanning, Guy Pearce, Kit Harington,Carice van Houten",2018,102,4.2,342481,862.91,42
1041,Respond born,"Adventure,Comedy,Romance","The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",Gee Malik Linton,"FranÃ§ois Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot",1980,177,5.8,439158,122.88,80
